1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.029629468917846680e+00,2.549999952316284180e+00,-1.456877589225769043e-01,-1.293869671466084892e+00
3.029628992080688477e+00,2.549999952316284180e+00,-1.456877738237380981e-01,-1.293869664361570138e+00
3.029543161392211914e+00,2.549999952316284180e+00,-1.456877738237380981e-01,-1.293868385539080679e+00
3.029710531234741211e+00,2.549999952316284180e+00,-1.456877887248992920e-01,-1.293870879224824799e+00
3.029846906661987305e+00,2.549999952316284180e+00,-1.456878036260604858e-01,-1.293872911061941355e+00
3.030068635940551758e+00,2.549999952316284180e+00,-1.456878185272216797e-01,-1.293876214467956753e+00
3.030047655105590820e+00,2.549999952316284180e+00,-1.456878185272216797e-01,-1.293875901893192681e+00
3.029863119125366211e+00,2.549999952316284180e+00,-1.456878334283828735e-01,-1.293873152605727661e+00
3.029807329177856445e+00,2.549999952316284180e+00,-1.456878334283828735e-01,-1.293872321408002124e+00
3.029796600341796875e+00,2.549999952316284180e+00,-1.456878483295440674e-01,-1.293872161561338663e+00
